date,resort_name,region,country,pass,snowfall
2020-12-30,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0
2020-12-30,Alta Ski Area,Utah,United_States,IKON,0
2020-12-30,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0
2020-12-30,Arapahoe Basin Ski Area,Colorado,United_States,IKON,1
2020-12-30,Aspen Snowmass,Colorado,United_States,IKON,3
2020-12-30,Bear Mountain,California,United_States,IKON,0
2020-12-30,Beaver Creek,Colorado,United_States,EPIC,1
2020-12-30,Big Sky,Montana,United_States,IKON,0
2020-12-30,Blue Mountain,Ontario,Canada,IKON,0
2020-12-30,Boyne Highlands,Michigan,United_States,IKON,0
2020-12-30,Boyne Mountain Resort,Michigan,United_States,IKON,0
2020-12-30,Breckenridge,Colorado,United_States,EPIC,0
2020-12-30,Brides les Bains,Northern_Alps,France,EPIC,0
2020-12-30,Brighton Resort,Utah,United_States,IKON,0
2020-12-30,Copper Mountain,Colorado,United_States,IKON,1
2020-12-30,Courchevel,Northern_Alps,France,EPIC,0
2020-12-30,Crested Butte Mountain Resort,Colorado,United_States,EPIC,1
2020-12-30,Crystal Mountain,Washington,United_States,IKON,0
2020-12-30,Cypress Mountain,British_Columbia,Canada,IKON,0
2020-12-30,Deer Valley Resort,Utah,United_States,IKON,0
2020-12-30,Eldora Mountain Resort,Colorado,United_States,IKON,1
2020-12-30,Falls Creek Alpine Resort,Australia,Australia,EPIC,0
2020-12-30,Fernie Alpine,British_Columbia,Canada,EPIC,0
2020-12-30,Folgàrida - Marilléva,Trentino,Italy,EPIC,0
2020-12-30,Heavenly,California,United_States,EPIC,0
2020-12-30,Jackson Hole,Wyoming,United_States,IKON,0
2020-12-30,June Mountain,California,United_States,IKON,0
2020-12-30,Keystone,Colorado,United_States,EPIC,1
2020-12-30,Kicking Horse,British_Columbia,Canada,EPIC,0
2020-12-30,Killington Resort,Vermont,United_States,IKON,0
2020-12-30,Kimberley,British_Columbia,Canada,EPIC,0
2020-12-30,Kirkwood,California,United_States,EPIC,0
2020-12-30,La Tania,Northern_Alps,France,EPIC,0
2020-12-30,Lake Louise,Alberta,Canada,IKON,0
2020-12-30,Les Menuires,Northern_Alps,France,EPIC,0
2020-12-30,Loon Mountain,New_Hampshire,United_States,IKON,0
2020-12-30,Madonna di Campiglio,Trentino,Italy,EPIC,0
2020-12-30,Mammoth Mountain,California,United_States,IKON,0
2020-12-30,Meribel,Northern_Alps,France,EPIC,0
2020-12-30,Mont Sainte Anne,Quebec,Canada,EPIC,0
2020-12-30,Monte Bondone,Trentino,Italy,EPIC,0
2020-12-30,Mount Sunapee,New_Hampshire,United_States,EPIC,0
2020-12-30,Mt. Bachelor,Oregon,United_States,IKON,8
